,Song,Artist,Billboard Peak,Track_URI,Explicit,Album Name,Release Date,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Key,Mode,Time Signature,Duration(ms)
0,Montero (Call Me By Your Name),Lil Nas X,1,spotify:track:67BtfxlNbhBmCDR2L2l8qd,True,MONTERO (Call Me By Your Name),2021-03-31,99,0.297,0.61,0.508,0.0,0.384,-6.682,0.152,0.758,178.818,G♯/A♭,Minor,4,02:17
1,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1,spotify:track:4iJyoBOLtHqaGxP12qzhQI,True,Justice,2021-03-19,100,0.321,0.677,0.696,0.0,0.42,-6.181,0.119,0.464,90.03,C,Major,4,03:18
2,Levitating,Dua Lipa Featuring DaBaby,3,spotify:track:463CkQjx2Zk1yXoBuierM9,False,Levitating (feat. DaBaby),2020-10-01,91,0.00883,0.702,0.825,0.0,0.0674,-3.787,0.0601,0.915,102.977,F♯/G♭,Minor,4,03:23
3,Save Your Tears,The Weeknd,1,spotify:track:37BZB0z9T8Xu7U3e65qxFy,False,Save Your Tears (Remix),2021-04-23,94,0.0215,0.65,0.825,2.44e-05,0.0936,-4.645,0.0325,0.593,118.091,C,Major,4,03:11
4,Kiss Me More,Doja Cat Featuring SZA,5,spotify:track:748mdHapucXQri7IAO8yFK,True,Kiss Me More (feat. SZA),2021-04-09,98,0.235,0.762,0.701,0.000158,0.123,-3.541,0.0286,0.742,110.968,G♯/A♭,Major,4,03:28
5,Astronaut In The Ocean,Masked Wolf,3,spotify:track:3Ofmpyhv5UAQ70mENzB277,False,Astronaut In The Ocean,2021-01-06,97,0.175,0.778,0.695,0.0,0.15,-6.865,0.0913,0.472,149.996,E,Minor,4,02:12
6,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2,spotify:track:0rt8ml6HaKvzEX9UTaqGRw,False,"Leave The Door Open (Originally Performed by Bruno Mars, Anderson Paak and Silk Sonic) [Karaoke]",2021-03-12,15,0.122,0.547,0.497,0.389,0.149,-11.097,0.0284,0.464,148.103,F,Major,4,04:04
7,i n t e r l u d e,J. Cole,8,spotify:track:08LwMWf5Tcfsd752EPzFV0,True,The Off-Season,2021-05-14,81,0.0617,0.77,0.574,0.0,0.104,-5.525,0.106,0.104,98.962,C♯/D♭,Major,3,02:13
8,Rapstar,Polo G,3,spotify:track:43PGPuHIlVOc04jrZVh9L6,True,RAPSTAR,2021-04-09,96,0.41,0.789,0.536,0.0,0.129,-6.862,0.242,0.437,81.039,F♯/G♭,Major,4,02:45
9,Your Power,Billie Eilish,6,spotify:track:5qNh5WtzMbfpSj2jLlBkoD,False,Your Power,2021-04-29,93,0.937,0.634,0.285,0.000359,0.232,-14.007,0.0807,0.203,129.65,A,Minor,4,04:05
10,Body,"Tion Wayne X Russ Millions Featuring ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo",11,spotify:track:0A1hoCfMLkiAgvhWkkucJa,True,Good News,2020-11-20,82,0.0166,0.914,0.732,0.0,0.107,-6.1,0.241,0.469,94.066,G♯/A♭,Minor,4,02:51
11,Without You,The Kid LAROI,10,spotify:track:27OeeYzk6klgBh83TSvGMA,True,F*CK LOVE (SAVAGE),2020-11-06,91,0.213,0.662,0.413,0.0,0.134,-7.357,0.0299,0.467,93.005,C,Major,4,02:41
12,Miss The Rage,Trippie Redd & Playboi Carti,13,spotify:track:4atjt0ziMjfsiT17R8KRnX,False,Miss The Rage (Originally Performed by Trippie Redd and Playboi Carti) [Instrumental],2021-05-12,6,0.0504,0.236,0.53,0.545,0.257,-12.979,0.0584,0.342,154.53,G♯/A♭,Major,4,03:58
13,Blinding Lights,The Weeknd,2,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,False,After Hours,2020-03-20,94,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,0.334,171.005,C♯/D♭,Major,4,03:20
